order_id,order_placement_date,customer_id,product_id,order_qty
FJUL33320501,2025/07/01,789320,25891203,150.0
FJUL33320501,2025/07/01,789320,25891301,46.0
FJUL33320501,01-07-2025,789320,25891403,
FJUL33320501,"Tuesday, July 01, 2025",789320,25891201,354.0
FJUL33320501,"Tuesday, July 01, 2025",789320,25891501,249.0
FJUL33320501,01-07-2025,789320,25891301,46.0
FJUL33401603,"Tuesday, July 01, 2025",789401,25891302,40.0
FJUL33401603,"Tuesday, July 01, 2025",789401,25891502,133.0
FJUL33401603,"Tuesday, July 01, 2025",789401,25891503,145.0
FJUL33401603,"Tuesday, July 01, 2025",789401,25891203,429.0
FJUL33401603,01-07-2025,789401,25891201,461.0
FJUL33401603,"Tuesday, July 01, 2025",789401,25891603,
FJUL32101601,01/07/2025,789101,25891503,183.0
FJUL32101601,"Tuesday, July 01, 2025",789101,25891601,124.0
FJUL32101601,"Tuesday, July 01, 2025",789101,25891501,241.0
FJUL32101601,01-07-2025,789101,25891101,474.0
FJUL32101601,2025/07/01,789101,25891303,58.0
FJUL32202603,"Tuesday, July 01, 2025",789202,25891403,440.0
FJUL32202603,"Tuesday, July 01, 2025",789202,25891103,370.0
FJUL32202603,"Tuesday, July 01, 2025",789202,25891601,119.0
FJUL32202603,2025/07/01,789202,25891603,
FJUL32202603,"Tuesday, July 01, 2025",789202,25891202,274.0
FJUL32221603,"Tuesday, July 01, 2025",789221,25891503,158.0
FJUL32221603,"Tuesday, July 01, 2025",789221,25891103,430.0
FJUL32221603,"Tuesday, July 01, 2025",789221,25891501,140.0
FJUL32221603,"Tuesday, July 01, 2025",789221,25891603,80.0
FJUL32221603,01/07/2025,789221,25891603,80.0
FJUL32903403,"Tuesday, July 01, 2025",789903,25891302,40.0
FJUL32903403,01-07-2025,789903,99999999,
FJUL32903403,"Tuesday, July 01, 2025",789903,25891101,326.0
FJUL32903403,"Tuesday, July 01, 2025",789903,25891303,
FJUL32903403,"Tuesday, July 01, 2025",789903,25891302,40.0
FJUL33203603,"Tuesday, July 01, 2025",789203,88888888,104.0
FJUL33203603,"Tuesday, July 01, 2025",789203,25891602,184.0
FJUL33203603,"Tuesday, July 01, 2025",789203,25891101,294.0
FJUL33203603,"Tuesday, July 01, 2025",789203,25891603,122.0
FJUL33203603,"Tuesday, July 01, 2025",789203,25891602,184.0
FJUL33220603,"Tuesday, July 01, 2025",789220,25891301,75.0
